epoch,loss,val_loss
0,36.600967297111588,47.055906511819096
1,34.441985238761205,64.418627893474621
2,33.432589972160997,33.470196380944444
3,32.144268417055883,45.501802367505647
4,31.114580830536976,41.885165675223966
5,30.938199121776222,53.784749263364262
6,30.680367997825194,51.490070352893817
7,30.092983368670154,115.77059147000442
8,29.573855320978126,32.462417142470933
9,27.86957155813025,29.077035690356997
10,24.976879427831953,32.929837828700983
11,23.250297547596773,28.31748758992974
12,21.908414560873105,41.604869882034251
13,20.195784878711866,23.580562551224759
14,18.976362084699566,15.454844370063197
0,17.841691168256453,21.506578299348536
1,17.127393073642377,17.20671797817193
2,16.385757692535183,16.76009134541566
3,15.811424597211531,16.495430940794712
4,15.307525135013057,20.488640452099979
5,14.841180530641875,12.366038737868028
6,14.428605339056343,13.92700204036511
7,14.170914797438789,24.557583686063204
8,14.157952953462654,14.100232964631937
9,13.455907565426202,20.051859966553788
10,13.300970406346998,15.038192035876689
11,12.984228973025655,11.454132584177817
12,12.90120449928326,16.603204347349166
13,12.848771896180796,17.949378348785697
14,12.544872914374016,14.840169704564824
15,12.612221459941576,11.268704919907654
16,12.309457277665528,13.425506243247945
17,12.136546756463048,11.533741092373253
18,12.335600697625544,11.476122354303749
19,11.680522575045654,13.866967528589077
20,11.665605875086349,10.145362790631374
21,11.590685360248273,10.535321391824766
22,11.486896266831376,11.0741989004059
23,11.371434391877843,10.183243650088675
24,11.374841232360307,11.130328258032938
25,11.141584421470938,22.569673904040357
26,11.121442548251171,13.064544680203435
27,11.043080708490866,12.856083341761057
28,11.035487528475006,10.950124816524172
29,11.010299799992488,10.583427188877407
30,10.797617470168765,9.6331672573809737
31,10.767371594688422,11.028636947804671
32,10.597954806782347,10.227608729900536
33,10.807115094686292,10.813258722710636
34,10.88432545794276,9.5942317267194657
35,10.67574916358603,9.7719391556362254
36,10.488345128784664,11.186251602460908
37,10.334431277826416,10.161838418740414
38,10.569228970484541,9.771618981963222
39,10.625939182701988,10.129096059788907
40,10.250178131539135,11.614171974815854
41,10.36917107602512,10.365981406712866
42,10.180659021412353,10.487809116812072
43,10.10409115603006,9.4107094210199804
44,10.011280265523743,9.7631275452713613
45,10.141720901719168,14.389326486104
46,10.009803308824241,9.6897798188424549
47,10.120618049083108,10.104682360652195
48,9.9851405347178233,12.691463288983096
49,9.8875692350915454,9.7519745482081603
